datetime,temperature,feels_like,dew_point,humidity,wind_speed,precipitation_cm
2025/02/17 00:30,9.0,7.253639,4.45,73.16465,2.8460498,0.0
2025/02/17 06:30,22.8,21.079563,6.25,34.30965,5.315336,0.0
2025/02/17 12:30,15.8,14.6345825,8.25,60.822002,4.846648,0.0
2025/02/17 18:30,13.7,12.375938,5.05,55.89315,0.8049845,0.0
2025/02/18 00:30,11.9,10.467745,6.0,67.161964,2.968636,0.0
2025/02/18 06:30,22.85,21.112076,6.95,35.891876,6.552099,0.0
2025/02/18 12:30,15.8,14.122253,6.55,54.154766,5.509882,0.0
2025/02/18 18:30,9.55,7.825959,4.25,69.52645,2.4149535,0.0
2025/02/19 00:30,8.4,6.4327602,3.95,73.569496,3.671294,0.0
2025/02/19 06:30,22.45,20.407324,5.2,32.589436,5.937272,0.0
2025/02/19 12:30,16.25,15.637991,9.75,65.39068,3.8183763,0.0
2025/02/19 18:30,11.7,10.630011,7.5,75.435555,2.9024127,0.0
2025/02/20 00:30,12.9,12.024948,9.45,79.55766,5.0528407,0.060000002
2025/02/20 06:30,16.7,16.319187,10.5,66.81208,3.710795,0.42
2025/02/20 12:30,15.45,13.784029,8.0,61.153297,7.841888,0.21999998
2025/02/20 18:30,9.95,8.677476,8.85,92.87266,6.6624317,0.02
2025/02/21 00:30,9.75,8.440171,8.0,88.85849,5.4029994,0.0
2025/02/21 06:30,21.3,19.215221,5.55,35.81893,6.7469993,0.0
2025/02/21 12:30,15.3,14.499491,9.9,70.18817,5.402999,0.0
2025/02/21 18:30,8.55,7.149082,6.0,84.00154,2.7534704,0.0
2025/02/22 00:30,10.45,9.03578,4.9,68.50512,1.2074767,0.0
2025/02/22 06:30,21.15,19.61754,7.55,41.47972,6.1437774,0.0
2025/02/22 12:30,15.5,15.043072,11.1,75.06223,5.4656014,0.0
2025/02/22 18:30,8.5,7.6845484,8.0,96.66511,2.0124612,0.0
2025/02/23 00:30,9.3,8.011611,6.3,81.52631,2.4482646,0.0
2025/02/23 06:30,22.1,20.339764,6.45,36.29726,5.904439,0.0
2025/02/23 12:30,16.0,15.452705,10.3,68.9314,4.452954,0.01
2025/02/23 18:30,10.05,9.141555,7.55,84.46332,1.8792552,0.0
2025/02/24 00:30,9.75,8.512051,6.6,80.749565,2.5772076,0.0
2025/02/24 06:30,22.45,20.90086,7.85,39.10502,6.76618,0.0
2025/02/24 12:30,16.1,15.327692,9.35,64.26961,4.1556225,0.0
2025/02/24 18:30,10.1,8.858961,7.0,81.07491,3.244996,0.0
2025/02/25 00:30,11.55,10.488782,7.3,75.15307,2.5071096,0.0
2025/02/25 06:30,22.5,21.503168,8.85,41.720585,4.752136,0.0
2025/02/25 12:30,17.55,17.235008,11.7,68.55787,5.7628117,0.030000001
2025/02/25 18:30,11.6,10.307986,7.1,73.88736,3.7585104,0.0
2025/02/26 00:30,14.4,12.745928,8.65,68.37723,8.913181,0.04
2025/02/26 06:30,24.5,23.922977,11.3,43.563305,6.6818557,0.030000001
2025/02/26 12:30,18.5,18.596146,12.5,68.07519,4.7110505,0.0
2025/02/26 18:30,15.15,14.135088,9.8,70.39449,6.6794305,0.0
2025/02/27 00:30,15.05,14.7535305,10.65,74.98647,3.4388947,0.15
2025/02/27 06:30,15.4,15.903404,14.8,96.21645,7.4932766,1.26
2025/02/27 12:30,14.55,15.054796,14.05,96.817566,5.5887027,0.32
2025/02/27 18:30,13.25,13.627935,12.45,94.9011,2.6758924,0.39000002
2025/02/28 00:30,13.3,12.904018,11.8,90.63235,6.542201,1.16
2025/02/28 06:30,17.45,16.667217,12.9,74.65142,11.656998,1.15
2025/02/28 12:30,13.75,13.14439,12.15,90.06947,8.748075,2.83
2025/02/28 18:30,12.0,12.021963,11.4,96.116776,2.8174455,3.0300002
2025/03/01 00:30,10.45,9.879019,9.45,93.52635,2.968636,0.0
2025/03/01 06:30,20.8,20.031488,9.3,47.71576,4.0249224,0.0
2025/03/01 12:30,15.1,15.032873,11.35,78.300606,3.319036,0.0
2025/03/01 18:30,8.35,6.969284,7.0,91.2106,4.2021422,0.0
2025/03/02 00:30,7.6,5.7478666,5.0,83.59836,4.353619,0.0
2025/03/02 06:30,22.25,20.467396,6.25,35.47516,5.7431,0.0
2025/03/02 12:30,15.3,14.276844,9.35,67.64513,5.876938,0.0
2025/03/02 18:30,11.3,10.461031,7.25,76.14556,0.9,0.0
2025/03/03 00:30,8.6,7.2212124,5.9,83.141396,2.4482646,0.0
2025/03/03 06:30,23.4,20.813875,2.4,25.269657,5.896202,0.0
2025/03/03 12:30,18.05,17.891655,10.15,59.934727,1.484318,0.01
2025/03/03 18:30,11.65,10.440802,9.45,86.36862,7.3447943,0.089999996
2025/03/04 00:30,11.15,9.899273,10.25,94.187874,9.181765,0.44
2025/03/04 06:30,19.85,19.03688,9.35,50.769436,4.4274144,0.08
2025/03/04 12:30,14.8,13.704922,8.8,67.31368,5.3517847,0.0
2025/03/04 18:30,9.6,8.606639,6.6,81.56608,0.9,0.0
2025/03/05 00:30,7.7,6.491789,5.75,87.467636,1.0495713,0.0
2025/03/05 06:30,19.5,17.840984,9.1,51.018528,9.761578,0.0
2025/03/05 12:30,13.6,12.34304,7.8,67.9815,4.6938252,0.0
2025/03/05 18:30,10.25,9.201262,6.7,78.63156,1.4399999,0.0
2025/03/06 00:30,7.9,6.3967743,4.3,78.00061,0.9693296,0.0
2025/03/06 06:30,21.65,20.870539,10.1,47.78789,5.634891,0.0
2025/03/06 12:30,16.25,14.931341,7.7,56.93095,4.942631,0.0
2025/03/06 18:30,11.95,10.551874,6.05,67.172585,2.8116899,0.0
2025/03/07 00:30,12.7,11.445887,5.6,61.98395,1.1384199,0.0
2025/03/07 06:30,22.45,21.363396,9.15,42.7027,5.920878,0.0
2025/03/07 12:30,17.8,16.869211,7.2,49.875732,1.4399999,0.0
2025/03/07 18:30,10.2,9.149468,7.0,80.53497,1.9386592,0.0
2025/03/08 00:30,11.45,10.313644,6.3,70.63409,1.4058449,0.0
2025/03/08 06:30,22.8,22.01865,10.0,44.259804,5.4477882,0.0
2025/03/08 12:30,18.3,18.659124,11.7,65.3988,1.1384199,0.0
2025/03/08 18:30,14.4,13.778433,8.3,66.77574,1.2074767,0.0
2025/03/09 00:30,11.65,10.774105,8.45,80.73442,3.219938,0.0
2025/03/09 06:30,23.8,22.904333,10.25,42.368267,6.7205353,0.0
2025/03/09 12:30,18.9,19.009853,10.95,59.937664,1.26,0.0
2025/03/09 18:30,11.8,10.83375,7.45,74.68411,2.1068459,0.0
2025/03/10 00:30,15.75,14.840391,7.2,56.804924,1.2979984,0.0
2025/03/10 06:30,25.0,24.662056,11.2,42.00228,4.829907,0.0
2025/03/10 12:30,19.9,20.850695,13.7,67.47504,1.659518,0.0
2025/03/10 18:30,13.45,13.163433,10.45,82.065704,2.968636,0.0
